observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2013-09-22,2013-09-22 20:21:54 UTC,research,34.081006,-118.515462,27,,,27,Elgaria multicarinata webbii,San Diego Alligator Lizard
2013-10-08,,research,40.116776,-123.797945,3,,,3,Spilogale gracilis,Western Spotted Skunk
2013-10-12,,research,40.544019,-124.144397,3,,,3,Canis latrans,Coyote
2013-10-19,2013-10-19 19:27:09 UTC,research,37.7881283333,-122.472625,,,,,Procyon lotor,Common Raccoon
2013-10-21,2013-10-21 15:12:15 UTC,research,37.792732,-122.480714,9,,,9,Procyon lotor,Common Raccoon
2013-10-11,,research,38.560623,-121.748473,103,,,103,Sciurus griseus,Western Gray Squirrel
2013-10-06,2013-10-06 18:51:00 UTC,research,32.683308,-115.910397,1789,,,1789,Taxidea taxus,American Badger
2013-11-24,2013-11-24 17:40:27 UTC,research,37.7877833333,-122.473975,,,,,Mephitis mephitis,Striped Skunk
2013-12-18,,research,38.429745,-122.749048,26,,,26,Urocyon cinereoargenteus,Gray Fox
2013-12-25,,research,40.123179,-123.832904,12,,,12,Sciurus griseus,Western Gray Squirrel
2014-01-18,,research,38.114834,-121.942738,52,,,52,Lepus californicus,Black-tailed Jackrabbit
2010-06-13,2010-06-13 15:31:12 UTC,research,32.654167,-116.7945,498,,,498,Pituophis catenifer annectens,San Diego Gopher Snake
2010-07-20,2010-07-20 21:20:09 UTC,research,32.8918333333,-116.8431666667,,,,,Masticophis flagellum piceus,Red Coachwhip
2010-07-19,2010-07-19 18:08:13 UTC,research,32.598833,-116.565167,501,,,501,Crotalus ruber,Red Diamond Rattlesnake
2013-05-30,2013-05-31 05:44:14 UTC,research,33.0661666667,-116.4283333333,,,,,Sonora annulata annulata,Colorado Desert Shovelnose Snake
2012-06-27,2012-06-27 07:14:15 UTC,research,33.6637299193,-116.626048599,498,,,28930,Lampropeltis multifasciata,Coast Mountain Kingsnake
2014-02-06,2014-02-07 03:22:09 UTC,research,32.8201666667,-116.7546666667,,,,,Ambystoma mavortium,Western Tiger Salamander
2014-02-10,2014-02-10 21:30:52 UTC,research,38.391632798,-122.6065633078,6250,,,28270,Rana draytonii,California Red-legged Frog
2014-02-02,2014-02-02 22:45:16 UTC,research,39.371466,-120.051847,,,,,Lynx rufus,Bobcat
2014-02-15,,research,37.249502,-122.397079,191,,,191,Aegolius acadicus,Northern Saw-whet Owl
2014-02-17,2014-02-17 21:36:02 UTC,research,33.251,-116.7661666667,,,,,Pituophis catenifer annectens,San Diego Gopher Snake
2014-03-02,2014-03-02 20:09:12 UTC,research,34.050921,-115.213396,5,,,5,Salvadora hexalepis,Western Patch-nosed Snake
2011-04-09,2011-04-09 15:01:20 UTC,research,36.4296043851,-121.0515801044,100,,,28534,Athene cunicularia,Burrowing Owl
2014-02-28,2014-03-01 04:44:54 UTC,research,32.7142751019,-116.6334663723,,,,29066,Spea hammondii,Western Spadefoot
2014-02-28,2014-03-01 07:08:35 UTC,research,32.6025689774,-116.9508198034,,,,29066,Spea hammondii,Western Spadefoot
2014-03-10,2014-03-10 16:10:53 UTC,research,32.853,-116.8433333333,,,,,Pituophis catenifer annectens,San Diego Gopher Snake
2014-03-14,2014-03-15 03:31:58 UTC,research,32.7686666667,-116.0218333333,,,,,Coleonyx variegatus variegatus,Desert Banded Gecko
2014-03-16,2014-03-16 19:54:16 UTC,research,36.9279633333,-121.4687416667,,,,,Pituophis catenifer,Gopher Snake
2014-04-07,2014-04-08 02:47:04 UTC,research,32.763,-116.4525,,,,,Crotalus oreganus helleri,Southern Pacific Rattlesnake
2014-04-09,2014-04-09 18:36:46 UTC,research,35.6278716667,-121.1590721667,,,,,Neogale frenata,Long-tailed Weasel
2014-04-13,2014-04-14 03:17:15 UTC,research,33.2115,-116.354,,,,,Crotalus cerastes laterorepens,Colorado Desert Sidewinder
2014-04-13,2014-04-14 03:23:27 UTC,research,33.2198333333,-116.3735,,,,,Coleonyx variegatus variegatus,Desert Banded Gecko
2014-04-13,2014-04-14 05:26:53 UTC,research,32.977333,-116.416667,500,,,500,Masticophis flagellum piceus,Red Coachwhip
2014-04-13,2014-04-14 06:14:10 UTC,research,32.7843333333,-116.0968333333,,,,,Phyllorhynchus decurtatus,Western Leaf-nosed Snake
2014-04-19,2014-04-20 05:28:04 UTC,research,32.77668,-116.086884,192,,,192,Phyllorhynchus decurtatus,Western Leaf-nosed Snake
2014-04-19,2014-04-20 05:37:16 UTC,research,32.774155,-116.083657,179,,,179,Crotalus cerastes,Sidewinder
2014-04-18,,research,33.896549,-116.54916,,,,,Masticophis flagellum,Coachwhip
2014-05-04,,research,34.3460122997,-117.3900586117,27,,,28846,Masticophis lateralis lateralis,California Striped Racer
2014-04-21,2014-04-21 19:07:53 UTC,research,35.0818333333,-115.6723333333,,,,,Gambelia wislizenii,Long-nosed Leopard Lizard
2014-05-05,,research,34.3792716142,-117.2781622564,13,,,28846,Pituophis catenifer,Gopher Snake
2014-05-05,,research,34.2777263288,-117.3269234064,1,,,28846,Pituophis catenifer,Gopher Snake
2014-04-21,2014-04-22 03:22:19 UTC,research,34.6851666667,-116.9685,,,,,Rhinocheilus lecontei,Long-nosed Snake
2014-04-21,2014-04-22 03:30:05 UTC,research,34.6216666667,-116.9616666667,,,,,Rhinocheilus lecontei,Long-nosed Snake
2014-04-21,2014-04-22 04:36:02 UTC,research,34.3506666667,-116.527,,,,,Pituophis catenifer deserticola,Great Basin Gopher Snake
2014-04-21,2014-04-22 04:41:58 UTC,research,34.3178333333,-116.4776666667,,,,,Rhinocheilus lecontei,Long-nosed Snake
2014-04-21,2014-04-22 06:35:41 UTC,research,33.915,-116.661,,,,,Masticophis flagellum piceus,Red Coachwhip
2014-04-22,2014-04-22 07:12:47 UTC,research,33.913,-116.6615,,,,,Sonora occipitalis,Mojave Shovelnose Snake
2014-05-11,2014-05-11 23:30:00 UTC,research,33.672208,-117.551561,3467,,,3467,Pituophis catenifer,Gopher Snake
2014-05-09,2014-05-10 04:56:19 UTC,research,33.278155,-116.392465,414,,,414,Lampropeltis californiae,California King Snake
2014-05-03,2014-05-04 04:50:00 UTC,research,34.676453,-116.814516,109,,,109,Salvadora hexalepis,Western Patch-nosed Snake
2014-04-25,2014-04-26 04:07:31 UTC,research,33.2366666667,-116.4081666667,,,,,Trimorphodon lyrophanes,California Lyresnake
2014-04-25,2014-04-26 05:24:54 UTC,research,33.0785,-116.1061666667,,,,,Phyllorhynchus decurtatus,Western Leaf-nosed Snake
2014-05-15,2014-05-16 03:59:55 UTC,research,32.6723333333,-116.7753333333,,,,,Pituophis catenifer annectens,San Diego Gopher Snake
2014-05-16,,research,34.4266823359,-117.3579053024,,,,28818,Masticophis flagellum,Coachwhip
2014-05-24,2014-05-24 22:38:47 UTC,research,37.580875,-121.8664633333,,,,,Lampropeltis californiae,California King Snake
